time,price,amusement,interest,pride,joy,pleasure,relief,compassion,admiration,contentment,love,disappointment,regret,sadness,shame,guilt,hate,contempt,disgust,fear,anger
01-03-16,100.529999,0,0,0,21,0,2,0,0,458,0,251,0,0,0,0,0,0,0,99,158
01-04-16,109.989998,0,0,0,44,0,0,0,0,940,0,313,0,0,0,0,0,0,0,36,78
02-03-16,100.75,0,0,0,17,0,0,0,0,282,0,147,0,0,0,0,0,0,0,613,77
03-03-16,101.5,0,0,0,36,0,2,0,0,305,0,176,0,0,0,0,0,0,0,1300,126
04-03-16,103.010002,0,0,0,96,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,172
05-03-16,0,0,0,0,15,0,0,0,0,70,0,48,0,0,0,0,0,0,0,2,16
07-03-16,101.870003,0,0,0,18,0,2,0,0,217,0,282,0,0,0,0,0,0,0,34,136
08-03-16,101.029999,0,0,0,30,0,0,0,0,322,0,259,0,0,0,0,0,0,0,68,86
09-03-16,101.120003,0,0,0,15,0,0,0,0,220,0,249,0,0,0,0,0,0,0,72,102
10-03-16,101.169998,0,0,0,30,0,0,0,0,227,0,296,0,0,0,0,0,0,0,78,87
11-03-16,102.260002,0,0,0,0,0,0,0,0,76,0,40,0,0,0,0,0,0,0,21,39
13-03-16,0,0,0,0,6,0,0,0,0,22,0,22,0,0,0,0,0,0,0,2,2
14-03-16,102.519997,0,0,0,24,0,0,0,0,254,0,74,0,0,0,0,0,0,0,8,43
15-03-16,104.580002,0,0,0,35,0,0,0,0,381,0,182,0,0,0,0,0,0,0,26,90
16-03-16,105.970001,0,0,0,24,0,0,0,0,395,0,242,0,0,0,0,0,0,0,20,94
17-03-16,105.800003,0,0,0,12,0,0,0,0,368,0,280,0,0,0,0,0,0,0,63,99
18-03-16,105.919998,0,0,0,15,0,0,0,0,250,0,156,0,0,0,0,0,0,0,20,68
19-03-16,0,0,0,0,6,0,0,0,0,85,0,62,0,0,0,0,0,0,0,4,24
20-03-16,0,0,0,0,24,0,0,0,0,123,0,27,0,2,0,0,0,0,0,8,39
21-03-16,105.910004,0,0,0,75,0,2,0,0,622,0,604,0,8,0,0,0,0,0,63,671
22-03-16,106.720001,0,0,0,30,0,0,0,0,837,0,610,0,18,0,0,0,0,0,192,248
23-03-16,106.129997,0,0,0,15,0,0,0,0,116,0,126,0,0,0,0,0,0,0,26,54
24-03-16,105.669998,0,0,0,12,0,0,0,0,219,0,192,0,8,0,0,0,0,0,26,88
25-03-16,0,0,0,0,12,0,2,0,0,94,0,68,0,0,0,0,0,0,0,19,36
26-03-16,0,0,0,0,0,0,0,0,0,68,0,42,0,0,0,0,0,0,0,2,14
27-03-16,0,0,0,0,0,0,0,0,0,234,0,46,0,0,0,0,0,0,0,16,26
28-03-16,105.190002,0,0,0,18,0,0,0,0,278,0,212,0,0,0,0,0,0,0,48,79
29-02-16,96.690002,0,0,0,21,0,0,0,0,307,0,116,0,0,0,0,0,0,0,20,147
29-03-16,107.68,0,0,0,24,0,2,0,0,339,0,287,0,0,0,0,0,0,0,57,81
30-03-16,109.559998,0,0,0,87,0,2,0,0,913,0,286,0,0,0,0,0,0,0,67,182
31-03-16,108.989998,0,0,0,60,0,0,0,0,520,0,396,0,8,0,0,0,0,0,78,190
