time,price,amusement,interest,pride,joy,pleasure,relief,compassion,admiration,contentment,love,disappointment,regret,sadness,shame,guilt,hate,contempt,disgust,fear,anger
01-03-16,109.82,0,0,0,15,0,0,0,0,185,0,120,0,2,0,0,0,0,0,25,39
01-04-16,116.059998,0,0,0,9,0,0,0,0,216,0,182,0,0,0,0,0,0,0,9,57
02-03-16,109.949997,0,0,0,11,0,2,0,0,244,0,130,0,0,0,0,0,0,0,18,32
02-04-16,0,0,0,0,3,0,0,0,0,312,0,44,0,0,0,0,0,0,0,7,22
03-03-16,109.580002,2,0,0,3,0,2,0,0,244,0,121,0,0,0,0,0,0,0,54,46
03-04-16,0,0,0,0,0,0,0,0,0,280,0,50,0,0,0,0,0,0,0,12,18
04-03-16,108.389999,0,0,0,3,0,4,0,0,205,0,157,0,2,0,0,0,0,0,32,92
05-03-16,0,0,0,0,0,0,2,0,0,71,0,36,0,0,0,0,0,0,0,7,15
07-03-16,105.730003,4,0,0,9,0,2,0,0,263,0,424,0,0,0,0,0,0,0,18,85
08-03-16,105.93,0,0,0,6,0,0,0,0,386,0,249,0,0,0,0,0,0,0,43,64
09-03-16,107.510002,0,0,0,6,0,0,0,0,248,0,156,0,0,0,0,0,0,0,26,74
10-03-16,107.32,0,0,0,9,0,0,0,0,182,0,134,0,0,0,0,0,0,0,20,14
11-03-16,109.410004,2,0,0,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0,20,12
15-02-16,0,4,0,0,12,0,0,0,0,158,0,132,0,3,0,0,0,0,0,35,12
16-02-16,101.610001,0,0,0,15,0,0,0,0,173,0,261,0,2,0,0,0,0,0,2,36
16-03-16,112.18,0,0,0,6,0,0,0,0,128,0,59,0,0,0,0,0,0,0,16,40
17-02-16,105.199997,0,0,0,15,0,0,0,0,250,0,228,0,0,0,0,0,0,0,21,27
17-03-16,111.019997,0,0,0,3,0,2,0,0,276,0,158,0,2,0,0,0,0,0,82,35
18-02-16,103.470001,2,0,0,9,0,0,0,0,270,0,204,0,0,0,0,0,0,0,29,41
18-03-16,111.449997,2,0,0,15,0,0,0,0,304,0,120,0,0,0,0,0,0,0,19,23
19-02-16,104.57,0,0,0,12,0,0,0,0,216,0,147,0,0,0,0,0,0,0,13,32
19-03-16,0,0,0,0,6,0,0,0,0,78,0,76,0,0,0,0,0,0,0,4,8
20-03-16,0,0,0,0,33,0,0,0,0,146,0,36,0,2,0,0,0,0,0,3,8
21-03-16,111.849998,0,0,0,36,0,2,0,0,304,0,156,0,0,0,0,0,0,0,4,38
22-03-16,112.25,2,0,0,15,0,0,0,0,207,0,168,0,0,0,0,0,0,0,113,41
23-03-16,112.540001,0,0,0,3,0,0,0,0,244,0,164,0,0,0,0,0,0,0,22,47
24-03-16,113.050003,0,0,0,12,0,0,0,0,265,0,156,0,2,0,0,0,0,0,25,47
25-03-16,0,2,0,0,0,0,2,0,0,97,0,58,0,0,0,0,0,0,0,4,8
26-03-16,0,0,0,0,0,0,0,0,0,92,0,70,0,0,0,0,0,0,0,9,14
27-03-16,0,0,0,0,0,0,0,0,0,131,0,78,0,0,0,0,0,0,0,14,10
28-03-16,113.690002,2,0,0,0,0,0,0,0,216,0,130,0,0,0,0,0,0,0,38,27
29-02-16,106.919998,2,0,0,99,0,0,0,0,296,0,121,0,0,0,0,0,0,0,29,48
29-03-16,116.139999,0,0,0,3,0,0,0,0,658,0,219,0,2,0,0,0,0,0,54,68
30-03-16,114.699997,0,0,0,21,0,0,0,0,468,0,247,0,0,0,0,0,0,0,41,106
31-03-16,114.099998,2,0,0,6,0,0,0,0,231,0,155,0,0,0,0,0,0,0,10,63
